         ps   /s1bit/x  /s1bit/xorxy                  
                /s1bit/y  /s1bit/andxy                
                /s1bit/cen  /s1bit/andxorxyz          
                    /s1bit/s                          
                   /s1bit/csal                        
          0          0 0 0 U U     U U     U 
      10000          0 0 0 U U     U 0     0 
      15000          0 0 0 U U     0 0     0 
      25000          0 0 1 U 0     0 0     0 
      40000          0 0 1 1 0     0 0     0 
      50000          0 1 0 1 0     0 0     0 
      65000          0 1 0 0 0     1 0     0 
      75000          0 1 1 0 0     1 0     0 
      85000          0 1 1 0 0     1 0     1 
     100000          1 0 0 0 1     1 0     1 
     110000          1 0 0 0 1     1 0     0 
     115000          1 0 0 1 1     1 0     0 
     125000          1 0 1 1 0     1 0     0 
     135000          1 0 1 1 0     1 0     1 
     140000          1 0 1 0 0     1 0     1 
     150000          1 1 0 0 1     1 0     1 
     160000          1 1 0 0 1     1 1     0 
     165000          1 1 0 1 1     0 1     0 
     175000          1 1 1 1 1     0 1     0 
